"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
31,"NCT04403672","Performance Evaluation of RealDetect™ COVID-19 RT-PCR Kit for the Detection of SARS-CoV-2 Virus",,"Recruiting","No Results Available","High Sensitivity and Specificity (With 95% Confidence Interval) of RealDetect™ COVID-19 RT-PCR Kit","Device: performance evaluation study of RealDetect RT-PCR Kit for COVID-19 detection","Performance evaluation of RealDetect™ COVID-19 RT-PCR kit|Reduce the price of RT-PCR based COVID-19 diagnostic test kits.","Bangladesh Medical Research Council (BMRC)","All","5 Years to 65 Years   (Child, Adult, Older Adult)",,"120","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","30005052020","May 18, 2020","July 24, 2020","July 24, 2020","May 27, 2020",,"May 28, 2020","Institute of Epidemiology, Disease Control and Research (IEDCR), Mohakhali, Dhaka (For sample collection & sample storage), Institute for Developing Science & Health Initiatives (ideSHi); Mohakhali, Dhaka (For sample analysis, data collection, data analys, Dhaka, Bangladesh",,"https://ClinicalTrials.gov/show/NCT04403672"
32,"NCT04363099","Multicentre Observational Study on Management COVID 19 Positive Outpatients in a French Cluster.","COVID AMBU 60","Recruiting","No Results Available","Covid-19","Other: observational","clinical description of covid 19 ambulatory cases.|Biological and radiological description of ambulatory cases|Prevalence of positive cases (PCR and/or serological positive)","Maison de Sante Pluridisciplinaire de Creil","All","up to 99 Years   (Child, Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Other","2020-A01059-30","March 1, 2020","June 30, 2020","December 31, 2020","April 27, 2020",,"April 27, 2020","Msp de Creil, Creil, France",,"https://ClinicalTrials.gov/show/NCT04363099"
33,"NCT04377425","COVID-19 Prevalence and Cognitive Deficits in Neurological Patients","Neuro-Covid","Withdrawn","No Results Available","Neurological Diseases or Conditions|Stroke, Acute|Seizure Disorder","Diagnostic Test: COVID-19 swap test PCR","Prevalence of COVID-19 infection in consecutive patients with neurological symptoms|Three months cognitive function of COVID-19 positive patients|Clinical presentation of neurological symptoms in COVID-19 positive patients|Prevalence of pre- and asymptomatic COVID-19 positive patients in acutely admitted neurological patients|Anosmia in COVID-19 positive patients|Exploratory analysis on neuro-specific and inflammatory blood and cerebrospinal fluid markers of COVID-19 infection|Exploratory analysis of the coagulation profile of COVID-19 positive patients compared to COVID-19neg patients","Aarhus University Hospital","All","18 Years and older   (Adult, Older Adult)",,"0","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Neuro-Covid-19","May 7, 2020","November 29, 2020","June 30, 2022","May 6, 2020",,"September 3, 2020","Aalborg University Hospital, Aalborg, DK, Denmark|Aarhus University Hospital, Aarhus, DK, Denmark|Regional Hospital West Jutland, Hostebro, Holstebro, DK, Denmark|Regional Hospital Central Jutland, Viborg, Viborg, DK, Denmark",,"https://ClinicalTrials.gov/show/NCT04377425"
34,"NCT04602871","Early Detection of COVID-19 Using Breath Analysis - Feasibility Study","COVID-19","Completed","No Results Available","Covid19","Diagnostic Test: Breath Biopsy","Correlation between Volatile Organic Compounds pattern in-breath biopsy and COVID-19 detection.|Correlation between Volatile Organic Compounds pattern and the course of the disease","Scentech Medical Technologies Ltd","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","108","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","Cov-2-2020","July 3, 2020","January 30, 2021","January 30, 2021","October 26, 2020",,"April 13, 2021","Soroka Medical Center, Be'er Sheva, Israel|Meir Medical Center, Kfar Saba, Israel",,"https://ClinicalTrials.gov/show/NCT04602871"
35,"NCT04691895","Gastrointestinal Symptoms in COVID-19",,"Active, not recruiting","No Results Available","COVID19 Disease","Other: SARS-CoV2 infection","Prevalence of gastrointestinal symptoms in patients admitted to hospital for COVID19 disease as assessed by GSRS questionnaire|Prognosis of gastrointestinal symptoms in patients admitted to hospital for COVID19 disease|Long term consequences of COVID-19 on gastrointestinal symptoms on the development of post-infection (PI) irritable bowel syndrome (IBS).|long term consequences of COVID-19 on gastrointestinal symptoms on the development of post-infection (PI) dyspepsia.|Identification of risk factors for post-infection gastrointestinal symptom development.","University of Bologna","All","18 Years to 85 Years   (Adult, Older Adult)",,"2000","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","GI-COVID19_01","May 1, 2020","September 30, 2020","December 31, 2021","December 31, 2020",,"January 5, 2021","IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna, Italy",,"https://ClinicalTrials.gov/show/NCT04691895"
36,"NCT04645498","COVID-19 and Hereditary Metabolic Diseases","COVID19-MHM","Not yet recruiting","No Results Available","Covid19|Metabolism, Inborn Errors",,"Frequency of MHM imbalance triggered by COVID-19|Number of COVID-19 patients in Gaucher's disease|Number of COVID-19 patients in Urea Cycle Disorder|Severity of COVID-19 infection","University Hospital, Lille","All","Child, Adult, Older Adult",,"77","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2020_52|2020-A02886-33","January 2021","January 2023","January 2023","November 27, 2020",,"November 27, 2020",,,"https://ClinicalTrials.gov/show/NCT04645498"
37,"NCT04747821","An Effectiveness Study of the Sinovac's Adsorbed COVID-19 (Inactivated) Vaccine","Projeto S","Active, not recruiting","No Results Available","Covid19","Biological: Adsorbed COVID-19 (Inactivated) Vaccine","Incidence of COVID-19 cases after two-doses immunization schedule in clusters in the first quarter of study|Incidence of COVID-19 cases after two-doses immunization schedule in clusters up to one year of study|Incidence of COVID-19 cases after two-doses immunization schedule in clusters according to immunization status|Incidence of COVID-19 cases after two-doses immunization schedule in clusters according to pre-existing SARS-CoV-2 antibodies|Incidence of COVID-19 cases after two-doses immunization schedule in clusters according to immunization coverage|Incidence of hospitalization and death due to COVID-19 after two-doses immunization schedule in clusters|Change in average number of reported COVID-19 cases in the study area in comparison to other neighboring cities|Medically-attended adverse reactions to the study vaccine|Frequency of severe COVID-19 cases|Frequency of adverse events of special interest after immunization|Acceptability of the study vaccine|Adherence to vaccination schedule","Butantan Institute","All","18 Years and older   (Adult, Older Adult)","Phase 4","27711","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","COV-04-IB","February 7, 2021","May 2021","February 2022","February 10, 2021",,"April 8, 2021","Hospital Estadual de Serrana, Serrana, SP, Brazil",,"https://ClinicalTrials.gov/show/NCT04747821"
38,"NCT04372004","Comparison of the Efficacy of Rapid Tests to Identify COVID-19 Infection (CATCh COVID-19)","CATCH COVID-19","Recruiting","No Results Available","COVID-19","Diagnostic Test: diagnostic tests for COVID-19 infection","detection of viral infection using serology and viral-RNA detection kits|Temporal trend of antibodies in blood","Texas Cardiac Arrhythmia Research Foundation","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 1","100","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","TCAI_CATCH COVID-19","May 8, 2020","May 2021","June 2021","May 1, 2020",,"August 11, 2020","Texas Cardiac Arrhythmia Institute, Austin, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04372004"
39,"NCT04377685","Prediction of Clinical Course in COVID19 Patients","COVID-CTPRED","Recruiting","No Results Available","COVID 19","Other: CT-Scan","diagnostic of COVID disease composite","Centre Hospitalier Universitaire de Saint Etienne|Institut National des Sciences Appliquées (INSA)|Institut National de la Santé Et de la Recherche Médicale, France|Centre National pour le Recherche Scientifique (CNRS)|Université de Lyon|Université Jean Monnet","All","18 Years and older   (Adult, Older Adult)",,"800","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","20CH109|IRBN652020/CHUSTE","March 1, 2020","June 30, 2021","June 30, 2021","May 6, 2020",,"January 19, 2021","Chu Saint-Etienne, Saint-Étienne, France",,"https://ClinicalTrials.gov/show/NCT04377685"
40,"NCT04717011","Case Series Study to Detect SARS-CoV-2 in Semen of COVID-19 Patients","COVID-19CAST","Recruiting","No Results Available","SARS-CoV-2","Diagnostic Test: PCR test","SARS-CoV-2 semen result","Igenomix","Male","18 Years to 65 Years   (Adult, Older Adult)",,"100","Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","IGX1-COV-NA-20-05","February 2021","July 2021","July 2021","January 20, 2021",,"February 10, 2021","Hospital Ruber Internacional, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT04717011"
41,"NCT04412486","COVID-19 Convalescent Plasma (CCP) Transfusion",,"Recruiting","No Results Available","COVID-19","Biological: COVID Convalescent Plasma","Change in PaO2/FiO2 after CCP transfusion.|Change in pulse oximetry status after CCP transfusion.|Change in aO2 after CCP transfusion.|Change in respiratory rate after CCP transfusion.|Change in intubation status after CCP transfusion.|Change in Sequential Organ Failure Assessment (SOFA).|Change in 8-point ordinal clinical deterioration scale.|Length of ICU/hospital stay.|Development of plasma transfusion reactions.|Development of immune complex disorders.|Change in anti CoV-2 IgM and IgG levels.","Gailen D. Marshall Jr., MD PhD|University of Mississippi Medical Center","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-0137","June 1, 2020","May 31, 2022","May 31, 2022","June 2, 2020",,"July 2, 2020","University of Mississippi Medical Center, Jackson, Mississippi, United States",,"https://ClinicalTrials.gov/show/NCT04412486"
42,"NCT04581135","Study to Investigate Long-term Pulmonary and Extrapulmonary Effects of COVID-19",,"Recruiting","No Results Available","COVID-19","Other: COVID-19","Pulmonary follow-up sequelae in patients after COVID-19|Evaluation of risk factors for adverse Outcome after COVID-19|Compare the functional Pulmonary outcome of COVID-19 disease|Compare the radiological Pulmonary outcome of COVID-19 disease|Quality of Life after COVID-19|Physical performance after COVID-19 using Clinical Frailty Scale|Physical performance after COVID-19 using frailty assessment tests|Microbiota and COVID-19","University Hospital Inselspital, Berne","All","18 Years and older   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2020-00799","May 1, 2020","April 30, 2023","June 1, 2023","October 9, 2020",,"October 9, 2020","St. Claraspital AG - Department of Pulmonary Medicine, Basel, Switzerland|Universtiy Hospital Bern (Inselspital), Department of Pulmonary Medicine - Lead Center, Bern, Switzerland|University and Hospital of Fribourg, Fribourg, Switzerland|Hôpitaux Universitaires de Genève - Service de Pneumologie, Genève, Switzerland|CHUV - Service de Pneumologie, Lausanne, Switzerland|Clinica Moncucco, Lugano, Switzerland|Hôpital du Valais - Service de Pneumologie, Sion, Switzerland|Kantonspital St. Gallen - Klinik für Pneumologie und Schlafmedizin Lungenzentrum, St. Gallen, Switzerland|Universitätsspital Zürich - Klinik für Pneumologie, Zürich, Switzerland",,"https://ClinicalTrials.gov/show/NCT04581135"
43,"NCT04387968","Epidemiological Study of the Covid-19 Presto Test - The ""COVIDOR"" Study","COVIDOR","Recruiting","No Results Available","Coronavirus Infection","Diagnostic Test: Covid-19 presto test","Study the prevalence of Covid-19 infection, coronavirus (SARS coronavirus-2) in territorial agents in the 3 structures : CCTVL, Loire Valley Region Centre, Orleans Metropolitan city|Determine if there is a relationship between the profession carried out by the agents of the territorial community of Orleans metropolitan city, the Loire Valley Region, the CCTVL and contamination by covid-19","Raphael Serreau|François Rabelais University|Assistance Publique - Hôpitaux de Paris|University Hospital, Paris|Orléans Métropole Service de Médecine Préventive","All","18 Years to 65 Years   (Adult, Older Adult)",,"5000","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Prospective","2020-A01414-35","August 24, 2020","March 24, 2021","March 24, 2021","May 14, 2020",,"December 9, 2020","Unité de Recherche PARADICT-O - Service de Médecine - Orléans Métropole, Orléans, France|Unité de Recherche PARADICT-O - Service de Médecine - Orléans Métropole, Orléans, France",,"https://ClinicalTrials.gov/show/NCT04387968"
